Medicine Name,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,Condition,Content,Substitute,Drug Class,InteractionEffect,NotRecommendedFor,InteractsWith0,InteractsWith1,InteractsWith2
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""The first couple of weeks I had nausea but it went away! I had anxiety & depression. I’ve been taking for about 4-5 months, This pill has changed my life I get excited about a sunny day I have for the first time in 6 years made new friends and the colour is back in the world for me. I used to be very underweight like 40kg and hated food to gaining 10kgs in 4 months and enjoying food & loving my body. After a couple months on this pill I just noticed “hey I don’t cry at the bottom of the shower anymore”. Things are better. I hope this helps someone out there""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Levocetirizine,Drowsiness,Dry mouth,Headache,Fatigue,,Urticaria,"Xyzal (levocetirizine)""I have suffered from hives for over 30 years.  No medicine helped.  I had them for 3 years straight, 24/7.  My hives have come back about 4 different times, lasting up to a year.  I have been on Xyzal for about 2 months.  I take Benadryl, then an hour later I will take the  Xyzal.  I take Benadryl at bedtime.  This is the first time in the 30 years that I feel they are under control.  For anyone with chronic hives, its worth a shot.  I have no side effects as of yet.  They do not make me tired either.""",,Antihistamine,Sedation risk,Heart Disease,Cetirizine,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I read these reviews which helped me to make a decision to take this med so I will add my experience in the hopes it will help others. I am 56, male and had two minor heart attacks 6 months ago. That and a very stressful job caused many sleepless nights and some stress and anxiety. My Doctor suggested lexipro a few times and I finally decided to give it a try. I was prescribed 10 mg and broke them in half as a trial so 5 mg to start.The first 2-3 days I felt no change but by day 3-4 the side effects kicked in hard. Nausea, severe hot flashes, fullness and tightness in chest, fogginess, very anxious feelings. I decided to stop after 6 days and was worried about any withdrawal but the day I stopped I felt much better. just my experience.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Migraine,"Cambia (diclofenac)""I was having frequent migraines to the point where it was making me hate life and cry all the time. I was scared to take it but it worked within two minutes. If you are scared and feel hopeless try this medication it will literally save you from the drowning that migraines can make you feel. Its the only medication I can say that is truly magic.""",,NSAID,Increased bleeding risk,Hypertension,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Generalized Anxiety DisorderOff-label,"""I have been on Zoloft for almost 5 months and I can honestly say it has saved me and and made my life brighter in so many ways. I was really struggling with GAD and panic attacks for about 3 years before I began and was struggling to cope, which felt very isolating. Zoloft has made me more feel more at ease, I feel more productive and motivated every day and far less irritated and impatient, to just name a couple of the benefits. I wish I hadn't waited so long to start (I was afraid of side effects), but I'm happy to say I'm feeling so much better. The side effects are difficult, I won't lie, for me they lasted about a month. I mostly just felt tired and spaced out and not very hungry. They do disappear however and it's so worth it.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Rheumatoid Arthritis,"Voltaren (diclofenac)""I tried Voltaren once yesterday on my knee. I used less than the 2 inches recommended. In a short time, my face turned bright red like a sunburn. I am returning this to the store and will not use again.""",,NSAID,Increased bleeding risk,Kidney Disease,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Generalized Anxiety DisorderOff-label,"""After suffering with anxiety and depression for years, it finally got so bad that I could barely leave the house. I quit my job, and used to spend day after day just lying on the sofa getting worse and worse. I was reluctant to take any sort of medication at first, but thought there was no other option, so off to the doctor's I went, and they recommend Sertraline. I started on 50mg. Had the usual side effects of feeling sick, headaches, but no more anxious than I already was. After a couple of weeks they passed, and I started to notice a difference in how I was feeling. My mood was lifting and slowly I started to do things I hadn't been able to for a long time. I did up my dose to 100mg, and now I've gone back to work, socialise with my friends, and generally feel so much better in myself. It's not a miracle drug by any means, but it does keep me on an even keel, and I now enjoy my life as I should do. No plans to come off it either. If it works then why change it? ""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"Lexapro (escitalopram)""Completely numbed me, gave me horrible panic attacks. Even when I'd gotten used to the medication my panic attacks turned into a deep depression and felt completely lifeless. 5 weeks in I couldn't do it anymore""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"""Started out with 10 mg, stuck with it for probably 3-4 months, the entire time feeling sluggish, tired and lethargic.  I would kind of sit like a zombie at my desk all day long.  Did help my anxiety, because I basically couldn't feel much of any emotion at all.
Reduced to 5 mg, still does take the edge of my anxiety, which tends to come in waves, especially during the night.  However, I still feel somewhat sluggish and like my brain isn't as sharp.  I've been on this dosage now for about 9 months, although on my doctor's advice I did try cutting it down to 2.5 or taking 5 mg every other day, but my anxiety got worse right away.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Premenstrual Dysphoric Disorder,"Zoloft (sertraline)""For a few years now I have been experiencing severe PMS. High irritability,  anxiety and mood swing. I am 42 years old and it started around 38 years of age. Around that time I also became a mom, so that was an added stressor. Coping became extremely difficult during PMS time.  I would have severe mood swings which caused me to have fights with family,  friends and co-workers.  

I tried therapy but it was pretty useless. A doctor prescribed me zoloft  but I have always stayed away from pharmaceutical drugs because of the long list of side effects. 

I finally decided to take it as it was hurting my family life and my anger and anxiety were becoming unmanageable and the guilt would throw me into severe depression.  So far 4 months on the lowest dose, 25 mg, I haven't had what I call a ""psycholotic episode "", which usually means a severe outburst and mood swing. I haven't experienced any side effects thank goodness. I only had a lot of sweating in the start and that was it.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
